state,district,race_type,party,candidate_name,campaign_site,campaign_facebook,campaign_x,campaign_instagram,personal_website,personal_facebook,personal_linkedin
New York,7,US House of Representatives,Democrat,Nydia Velázquez,https://www.reelectnydiavelazquez.com,https://www.facebook.com/ReElectNydiaVelazquezToCongress,https://x.com/ReElectNydia,"","","",""
Arizona,3,US House of Representatives,Democrat,Yassamin Ansari,http://yassaminforcongress.com,"","","","","",""
Ohio,9,US House of Representatives,Democrat,Marcy Kaptur,http://marcykaptur.com,"","","","","",""
New York,23,US House of Representatives,Democrat,Thomas Carle,https://www.carle4congress.com/,"","","","","",""
New York,11,US House of Representatives,Democrat,Andrea Morse,https://www.andreamorseforcongress.com/,"","","","","",""
Florida,23,US House of Representatives,Democrat,Jared Moskowitz,http://jaredforflorida.com,"","","","","",""
Illinois,13,US House of Representatives,Democrat,Nikki Budzinski,http://nikkiforcongress.com,"","","","","",""
Florida,28,US House of Representatives,Democrat,Phil Ehr,https://ehrforcongress.us/,https://www.facebook.com/PhilEhrFlorida,https://x.com/PhilEhr,https://www.instagram.com/phil.ehr,"",https://www.facebook.com/phil.ehr,https://www.linkedin.com/in/philehr/
Texas,31,US House of Representatives,Democrat,Stuart Whitlow,https://whitlowforcongress.com,https://www.facebook.com/WhitlowForCongress/,https://x.com/StuartWhitlow31,https://www.instagram.com/stuartwhitlow31,"","",https://www.linkedin.com/in/stuart-whitlow-18887a10/
Virginia,2,US House of Representatives,Democrat,Missy Cotter Smasal,https://campaigns.moveon.org/endorsements/2024/missy-cotter-smasal/,"","","","","",""
California,7,US House of Representatives,Democrat,Doris Matsui,http://matsuiforcongress.com,"","","","","",""
Texas,15,US House of Representatives,Democrat,Michelle Vallejo,https://www.michellefortx15.com,https://www.facebook.com/michellevfortx,https://x.com/MichelleVforTX,https://www.instagram.com/michellevfortx/,"",https://www.facebook.com/michelle.vallejo1,https://www.linkedin.com/in/vallejomichelle/
New Jersey,3,US House of Representatives,Democrat,Herb Conaway,http://herbforcongress.com,"","","","","",""
Florida,7,US House of Representatives,Democrat,Jennifer Adams,https://www.jenniferadamsforcongress.com/,"","","","","",""
Rhode Island,1,US House of Representatives,Democrat,Gabe Amo,http://gabeamo.com,"","","","","",""
North Carolina,12,US House of Representatives,Democrat,Alma Adams,http://almaadamsforcongress.com,"","","","","",""
Ohio,13,US House of Representatives,Democrat,Emilia Sykes,http://emiliasykesforcongress.com,"","","","","",""
South Carolina,1,US House of Representatives,Democrat,Michael B. Moore,"","","","","","",""
Oklahoma,5,US House of Representatives,Democrat,Madison Horn,"","","","",https://www.goddardlawplc.com/our-attorneys,https://www.facebook.com/terrygoddard,https://www.linkedin.com/in/terry-goddard-98499032/
Oregon,4,US House of Representatives,Democrat,Val Hoyle,http://valhoyle.com,"","","","","",""
Arkansas,4,US House of Representatives,Republican,Bruce Westerman,https://brucewesterman.com,"","","","","",""
Massachusetts,9,US House of Representatives,Republican,Dan Sullivan,https://nursedanforcongress.org/,"","","","","",""
Texas,12,US House of Representatives,Republican,Craig Goldman,http://craiggoldman.org,"","","","","",""
New York,9,US House of Representatives,Republican,Menachem Raitport,"","","","","","",""
Florida,25,US House of Representatives,Republican,Chris Eddy,https://www.Eddy4Congress.com,https://www.facebook.com/Eddy4Congress/,https://x.com/Eddy4Congress,https://www.instagram.com/eddy4congress/,"",https://www.facebook.com/chris.eddy.79219,https://www.linkedin.com/in/chris-eddy/
Kentucky,5,US House of Representatives,Republican,Hal Rogers,http://congressmanhalrogers.com,"","","","","",""
New York,17,US House of Representatives,Republican,Mike Lawler,https://www.lawlerforcongress.com,https://www.facebook.com/lawler4ny,https://x.com/lawler4ny,https://www.instagram.com/lawler4ny/,"",https://www.facebook.com/michaelvlawler,https://www.linkedin.com/in/mike-lawler-735903103/
Pennsylvania,8,US House of Representatives,Republican,Rob Bresnahan Jr.,http://robforpa.com,"","","","","",""
Texas,13,US House of Representatives,Republican,Ronny Jackson,http://ronnyjacksontx.com,"","","","","",""
New Jersey,3,US House of Representatives,Republican,Rajesh Mohan,https://mohanforuscongress.com/mohan-for-us-congress-news/,"","","","","",""
Georgia,1,US House of Representatives,Republican,Buddy Carter,http://buddycarterforcongress.com,"","","","","",""
California,3,US House of Representatives,Republican,Kevin Kiley,http://electkevinkiley.com,"","","","","",""
Rhode Island,2,US House of Representatives,Republican,Steve Corvi,https://corviforcongress.com/,https://www.facebook.com/profile.php?id=61557947007427,https://x.com/Corvi4Congress,https://www.instagram.com/corviforcongress/,"","",https://www.linkedin.com/company/corvi-for-congress/
Wisconsin,8,US House of Representatives,Republican,Tony Wied,http://tonywiedforcongress.com,"","","","","",""
California,14,US House of Representatives,Republican,Vin Kruttiventi,https://www.vin4congress.com,https://www.facebook.com/vin4congress,https://x.com/vin4congress,https://www.instagram.com/vin4congress/,https://www.kruttiventi.org,https://www.facebook.com/kruttiventi,https://www.linkedin.com/in/kruttiventi/
Montana,2,US House of Representatives,Republican,Troy Downing,http://troydowning.com,"","","","","",""
California,30,US House of Representatives,Republican,Alex Balekian,https://www.alexforca30.com,https://www.facebook.com/alexforca30,https://x.com/AlexBalekian,https://www.instagram.com/alexforca30,"",https://www.facebook.com/profile.php?id=100093267888010,https://www.linkedin.com/in/alex-balekian-1b6971174/
Illinois,5,US House of Representatives,Republican,Tommy Hanson,https://votetommyhanson.com/,https://www.facebook.com/profile.php?id=100084174752154,"",https://www.instagram.com/votetommyhanson/,"","",""
Michigan,5,US House of Representatives,Republican,Tim Walberg,http://walbergforcongress.com,"","","","","",""
Connecticut,4,US House of Representatives,Republican,Michael Goldstein,https://goldsteinforcongress.com/,"","","","",https://www.facebook.com/michael.goldstein.1829,https://www.linkedin.com/in/michael-goldstein-1996aa19/
